Rank,Story,Tier,Score,Affirm,Emotion,Enjoy,Audio,Craft,Words,~Mins,Date,Source chat,Reviewed,In archive?,Notes
1,The Case of the Borrowed Smiles,A,4.80,5,5,4,5,5,864,6,2026-06-18,Alex's truth-telling smile power,✓,Yes,Four crisp affirmations. 'Catch smiles by giving them away.'
2,The Big Kids Club,A,4.80,5,5,4,5,5,1486,11,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Inclusion/apology/not excluding friends. Different cast texture (Nana Rose) but top-tier values.
3,Winchester and the Laser Tag Mystery,A,4.80,5,4,5,5,5,955,7,2026-06-19,Winchester the teddy bear and laser tag guns,✓,Yes,DISCOVERY. 'Asking is braver than force.' Sharing opens doors. Excellent.
4,Case File #31: The Scarecrow Who Forgot His Name,A,4.80,5,5,4,5,5,1012,7,2026-07-04,Cross-story research adventure,✓,Yes,Loneliness-not-scariness. Naming as kindness. Read & confirmed.
5,The Wrong Powers,A,4.70,5,5,4,4,5,1238,9,2026-06-09,Felix and friends with the wrong powers,✓,Yes,Powers swap = empathy lesson. Automated under-scored affirm/emotion.
6,The Troll Who Forgot How To Laugh,A,4.70,5,5,4,4,5,3122,23,2026-04-23,Felix and Amelia save Halloween from the troll,✓,Yes,Model sad-before-bad. Automated under-scored audio (long free-verse tail); still excellent.
7,"Felix, Alex and the Tiny Sailor of Eastbourne",A,4.65,5,5,4,5,4,1184,9,2026-07-05,Alex and Felix's Eastbourne beach adventure,✓,Yes,Self-acceptance: 'use who you are.' Real place.
8,The Big School Adventure,A,4.60,5,5,3,5,5,1307,10,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Starting-school nerves handled beautifully. Directly useful for the boys' real life.
9,The Mixed-Up Birthday Magic,A,4.60,5,4,4,5,5,1394,10,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Birthday-magic mix-up; sharing/gratitude.
10,The Wishing Tree Express,A,4.60,5,4,4,5,5,1956,14,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Strong warmth. Needs a confirming read for canon-fit.
11,The Five-Year-Olds Only Club,A,4.60,5,4,4,5,5,947,7,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Companion to Big Kids Club — inclusion theme. Possible near-duplicate; compare.
12,When Theo Had to Move Away,A,4.60,5,5,3,5,5,1574,12,2025-12-16,Felix and Alex's adventure group,✓,Yes,"DISCOVERY. Friendship & moving/loss. Big feelings, gently done."
13,The Summer the Forest Woke Up,A,4.60,5,4,4,5,5,1256,9,2026-06-12,Felix and Alex's forest summer adventures,✓,Yes,"No villain. Effort, own pace, 'today is enough.' Very healthy."
14,The Path Alex Found,A,4.60,5,4,4,5,5,1398,10,2026-06-12,Felix and Alex's forest summer adventures,✓,Yes,Forest/OSET companion to 'Summer Forest Woke Up'. Effort & mastery.
15,Trio Force — Akta Sprawy #33,A,4.60,5,4,4,5,5,1289,10,2026-05-15,Nowa historia z czasowymi mocami,✓,Yes,POLISH. Automated tanked it (English regex). Actually strong; Victor returns & grows. Keep as bilingual asset.
16,The Library Keeper's Lost Words,A,4.47,5,4.35,3.2,5,4.73,1489,11,2026-06-19,Winchester the teddy bear and laser tag guns,auto,Yes,
17,Harry Joins the Adventure Club,A,4.45,5,4,4,5,4,1717,13,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Inclusion of a new friend. NB 'Harry' is a one-off guest — check canon fit.
18,The Secret of Miller's Cottage,A,4.45,4,5,4,5,5,1992,15,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Longer grounded mystery. Read to confirm.
19,The Adventure of the Missing Cake,A,4.45,5,4,4,5,4,1340,10,2026-07-01,The missing cake fairy adventure,✓,Yes,Empathy for hungry hedgehog; fix-a-mistake-kindly.
20,The Polish Adventure,A,4.42,5,3.92,3.2,5,5,1371,10,2025-12-16,Felix and Alex's adventure group,auto,Yes,
21,The Case of the Colour That Went Quiet,A,4.42,4.78,5,3.2,4,4.71,2200,16,2026-05-06,Alex's family story,auto,Yes,
22,The Day Before Tomorrow,A,4.40,5,3,4,5,5,1155,9,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Patience/anticipation theme. Confirm on read.
23,TRIO FORCE CASE FILE #32,A,4.35,5,3.61,3.2,5,4.9,1798,13,2026-06-10,Cloned heroes versus multipowered villain,auto,Yes,
24,The Case of the Missing Teddy Bears,A,4.25,4,4,4,5,5,1665,12,2025-12-16,Felix and Alex's adventure group,✓,Yes,"DISCOVERY. Solid mystery, kind resolution. Confirm on read."
25,The Great Sock Monster Hunt,A,4.25,4,3,5,5,5,1626,12,2025-12-16,Felix and Alex's adventure group,✓,Yes,DISCOVERY. Fun household mystery. Lighter on affirmation.
26,TRIO FORCE — CASE FILE #1,A,4.25,4,4,4,5,5,1506,11,2026-05-06,Three-person superhero team adventures,✓,Yes,"Origin story. Introduces team, powers, HQ. Good first listen."
27,The Backwards Growing Potion,A,4.20,4.99,2.9,3.2,5,4.9,789,6,2025-12-18,Felix and the crystal singers,auto,Yes,
